doc_id,replydate,replies,char_count_median,response_median,response_rating,response_likes
24718,2015-10-03,1,181,40,"",3
28575,2015-08-10,2,423,83,3,3
24718,2015-10-05,3,266,8,4,3
28575,2015-10-27,14,268,574,5,3
26707,2016-02-13,1,262,112,"",3
30942,2015-08-13,10,209,173,3,3
27048,2016-02-10,8,666,24,5,3
31530,2016-03-16,5,244,215,5,3
28575,2016-01-08,3,457,459,"",3
33062,2015-11-08,4,560,142,5,3
29980,2016-02-03,1,237,294,5,3
33062,2015-11-22,3,218,20,1,3
30880,2015-08-03,21,169,14,4,3
33062,2016-01-25,4,238,0,4,3
33062,2015-11-04,9,777,901,4,3
34348,2016-02-26,1,79,176,"",3
33062,2015-11-05,8,611,155,4,3
37438,2015-08-22,5,272,708,"",3
33062,2015-12-02,3,377,67,3,3
37438,2015-10-08,4,148,99,3,3
37067,2015-09-16,1,272,5,"",3
37438,2015-10-16,4,170,45,1,3
37438,2015-08-23,6,238,139,2,3
37438,2015-11-30,3,188,154,1,3
37438,2015-12-01,1,273,49,3,3
37438,2015-12-14,1,144,49,"",3
37438,2015-12-13,2,91,337,"",3
45258,2016-03-28,1,116,155,5,3
42919,2015-10-03,1,260,240,5,3
46169,2015-08-06,2,199,1356,5,3
42919,2015-11-18,1,1814,346,"",3
47144,2015-10-14,4,230,9,3,3
47105,2016-01-30,1,317,11,3,3
47144,2015-11-04,3,156,1,1,3
47144,2015-11-30,1,12,148,3,3
47453,2016-03-09,1,570,0,"",3
52953,2015-09-09,12,613,133,4,3
51806,2016-04-09,4,160,109,5,3
52953,2015-09-14,2,274,320,"",3
52953,2015-09-08,7,758,274,4,3
52953,2015-09-23,27,626,201,4,3
52953,2015-09-11,8,417,14,3,3
52953,2015-10-05,11,960,984,3,3
57404,2016-03-06,7,282,116,5,3
52953,2015-10-07,6,503,1007,3,3
76535,2016-01-25,1,213,9,5,3
52953,2015-10-17,28,485,355,3,3
84460,2016-02-15,6,48,216,"",3
56660,2015-10-08,1,386,572,5,3
86772,2016-02-14,1,632,48,3,3
58980,2015-08-25,2,210,55,"",3
87429,2015-09-03,10,145,45,"",3
66679,2015-09-11,1,241,2,"",3
91588,2015-11-24,1,226,47,"",3
67154,2015-11-20,1,354,148,"",3
94940,2015-09-30,1,1106,24,"",3
71601,2016-02-08,2,132,6,5,3
95293,2016-02-15,2,143,41,2,3
84460,2016-01-18,5,37,192,4,3
95694,2015-08-20,7,166,25,4,3
84460,2016-03-26,46,75,200,5,3
95939,2016-03-09,1,592,41,"",3
86772,2016-02-12,1,1057,63,5,3
96831,2016-03-17,2,81,17,5,3
92125,2015-10-28,1,585,56,"",3
97383,2016-02-11,5,494,628,5,3
92984,2016-02-03,2,317,"",5,3
97383,2016-03-31,2,191,42,2,3
94774,2016-02-14,2,161,0,3,3
116169,2016-02-26,1,193,3,"",3
95694,2015-08-05,5,284,5,4,3
118893,2015-10-19,1,122,36,"",3
95694,2015-08-10,2,171,5,"",3
118893,2016-03-16,1,238,150,5,3
96483,2016-02-11,4,229,12,"",3
119773,2016-02-20,2,423,88,4,3
103848,2016-04-04,2,36,265,5,3
123102,2015-12-17,1,701,80,"",3
109931,2016-03-25,2,59,39,2,3
128606,2015-12-12,1,466,49,3,3
111533,2016-04-05,1,164,50,5,3
130160,2016-03-22,2,145,75,"",3
114050,2015-08-19,2,102,22,3,3
131142,2015-12-29,2,880,283,"",3
119773,2016-02-16,1,708,97,4,3
132772,2016-02-04,6,181,0,5,3
122904,2016-04-08,2,311,18,2,3
138793,2015-11-07,2,218,93,"",3
123102,2016-01-13,1,308,350,5,3
140164,2016-01-22,3,292,152,4,3
123803,2015-10-16,1,187,5,"",3
140164,2016-01-25,1,546,184,"",3
129796,2016-02-23,4,164,0,4,3
140576,2015-09-09,3,183,22,5,3
131142,2016-02-15,3,608,32,2,3
140576,2015-09-10,3,227,30,"",3
138793,2015-11-03,7,355,341,4,3
144416,2015-10-14,2,303,11,4,3
138793,2016-03-25,1,292,22,"",3
144416,2015-10-27,6,276,51,"",3
140605,2015-08-26,4,289,33,"",3
150508,2016-03-24,1,54,2,5,3
144416,2015-09-30,2,312,54,4,3
152839,2015-09-02,7,438,152,"",3
144493,2016-01-19,3,435,0,5,3
153932,2015-07-08,3,159,4,2,3
144493,2016-01-31,2,207,0,3,3
153932,2015-12-31,3,128,25,3,3
146825,2016-03-09,2,106,3,3,3
155422,2015-09-13,1,535,59,"",3
151889,2015-10-31,4,300,74,"",3
160730,2015-08-05,2,226,4,3,3
153888,2016-03-06,3,335,89,"",3
167246,2016-02-02,1,243,100,"",3
153932,2016-02-11,7,203,6,5,3
174525,2016-03-03,1,212,"","",3
155422,2015-09-10,1,283,67,4,3
175423,2015-09-18,4,246,309,3,3
159772,2016-02-24,1,806,17,"",3
180401,2016-02-07,5,492,34,5,3
160730,2015-09-20,3,271,154,3,3
190139,2015-09-19,5,222,120,"",3
160730,2016-01-16,8,143,345,"",3
190139,2015-11-24,9,227,248,3,3
189753,2015-09-28,2,222,12,"",3
190139,2016-04-09,1,304,82,"",3
190139,2016-01-18,1,208,10,2,3
193501,2015-11-29,1,27,107,"",3
199067,2016-02-13,2,431,12,5,3
202029,2015-09-21,2,113,46,"",3
200549,2015-10-13,3,157,51,"",3
206069,2015-10-05,5,224,162,"",3
213249,2015-10-16,5,234,13,5,3
213249,2015-11-14,1,172,140,"",3
217064,2015-10-13,3,402,279,2,3
217681,2016-01-25,3,182,679,"",3
217064,2015-10-14,1,464,271,5,3
230794,2016-01-10,3,492,179,"",3
218783,2016-03-11,1,59,"","",3
230794,2016-03-15,2,646,72,"",3
222907,2015-11-07,2,63,56,"",3
235993,2015-12-21,1,72,8,3,3
240908,2015-11-19,3,264,573,"",3
238993,2016-03-17,4,131,272,5,3
246645,2015-10-05,4,662,504,"",3
276026,2015-11-30,3,1051,355,"",3
276026,2015-12-09,2,1167,106,5,3
276519,2015-11-03,1,345,27,"",3
291298,2015-12-04,1,175,49,3,3
280792,2015-12-17,4,22,50,"",3
294084,2015-11-24,2,62,341,4,3
294084,2015-11-30,9,49,119,3,3
294084,2016-01-20,4,108,264,"",3
294084,2015-12-07,10,69,68,3,3
294084,2016-03-27,14,224,959,2,3
294084,2015-12-14,6,71,26,5,3
311894,2016-01-23,1,402,0,3,3
294084,2015-12-17,5,93,3,"",3
333838,2016-01-09,2,26,27,"",3
294084,2015-12-23,6,60,26,3,3
355799,2016-02-19,16,268,15,4,3
294084,2016-01-07,10,87,26,2,3
356512,2016-01-22,2,685,0,5,3
294084,2016-01-21,3,136,1800,"",3
375491,2016-04-02,30,102,30,5,3
325006,2016-02-19,2,129,2,2,3
407067,2016-03-16,1,916,41,"",3
325006,2016-03-30,1,185,150,2,3
412057,2016-03-11,8,89,"",2,3
340368,2016-04-11,9,90,0,5,3
425034,2016-02-06,2,182,101,5,3
348004,2016-03-26,3,108,978,2,3
431412,2016-02-01,2,680,28,5,3
352501,2016-03-25,1,541,14,5,3
434783,2016-02-10,1,237,149,"",3
375491,2016-04-03,26,69,311,2,3
524972,2016-03-13,6,251,35,2,3
399135,2016-02-25,2,841,331,3,3
543106,2016-04-24,1,387,2059,5,3
426191,2016-02-22,5,307,0,2,3
545115,2016-03-09,10,378,78,"",3
426191,2016-03-09,4,161,0,5,3
613753,2016-04-27,15,98,232,2,3
443438,2016-03-03,1,88,10,"",3
632436,2016-04-11,2,109,4,5,3
545115,2016-03-10,4,91,"",5,3
640670,2016-04-17,3,58,0,5,3
577986,2016-04-12,2,165,302,5,3
80,2015-08-21,2,592,96,2,3
619980,2016-04-09,2,356,28,4,3
935,2015-10-16,1,66,75,5,3
540,2015-11-23,1,167,19,"",3
1254,2016-03-18,1,293,26,5,3
1258,2016-02-11,1,234,8,5,3
3155,2015-10-01,1,155,31,"",3
3412,2015-12-03,3,59,47,2,3
8617,2015-10-03,2,224,553,"",3
9830,2015-07-30,5,352,1108,5,3
12787,2015-12-15,1,160,137,"",3
9830,2015-09-26,5,176,371,4,3
14047,2016-01-07,2,232,9,3,3
9830,2015-09-27,10,271,409,4,3
14694,2015-11-01,1,353,43,"",3
11353,2015-12-05,1,161,247,3,3
15303,2016-01-08,1,95,-2,4,3
13280,2016-01-22,1,392,41,"",3
17749,2016-02-22,11,142,423,3,3
14047,2016-01-10,1,230,4,3,3
