doc_id,replydate,likes
160315,2015-09-21,1
90123,2015-09-20,2
190139,2015-09-20,3
87120,2015-09-20,2
64436,2015-09-20,1
172218,2015-09-20,2
55377,2015-09-20,1
7128,2015-09-20,1
140605,2015-09-20,1
162788,2015-09-20,2
151889,2015-09-20,1
144416,2015-09-20,3
189727,2015-09-20,2
175423,2015-09-20,1
52953,2015-09-20,4
160730,2015-09-20,4
214851,2015-09-20,1
19734,2015-09-20,1
171664,2015-09-20,1
202029,2015-09-20,1
94940,2015-09-20,3
140576,2015-09-20,2
160315,2015-09-20,1
35064,2015-09-20,2
28575,2015-09-20,2
188270,2015-09-20,1
162475,2015-09-20,1
128884,2015-09-20,2
20266,2015-09-20,1
37438,2015-09-19,1
128884,2015-09-19,22
200549,2015-09-19,6
9830,2015-09-19,2
160730,2015-09-19,5
151889,2015-09-19,2
160315,2015-09-19,2
771,2015-09-19,2
171664,2015-09-19,2
152577,2015-09-19,1
28575,2015-09-19,1
144416,2015-09-19,1
190139,2015-09-19,4
123102,2015-09-19,1
52953,2015-09-19,3
172218,2015-09-19,4
7571,2015-09-19,1
202029,2015-09-19,1
189727,2015-09-19,2
221891,2015-09-19,1
162788,2015-09-18,1
200549,2015-09-18,1
52953,2015-09-18,5
172218,2015-09-18,5
189727,2015-09-18,1
144416,2015-09-18,4
155422,2015-09-18,1
174970,2015-09-18,6
189753,2015-09-18,1
202029,2015-09-18,1
178336,2015-09-18,1
3412,2015-09-18,1
152839,2015-09-18,1
28575,2015-09-18,3
9830,2015-09-18,1
195067,2015-09-18,2
305869,2015-09-18,3
175423,2015-09-18,2
771,2015-09-18,1
55377,2015-09-18,1
190139,2015-09-18,2
51806,2015-09-18,1
162475,2015-09-18,1
171891,2015-09-18,1
27024,2015-09-18,1
138876,2015-09-18,1
90123,2015-09-18,4
160315,2015-09-18,1
12379,2015-09-18,1
35064,2015-09-18,4
128884,2015-09-18,3
164189,2015-09-18,1
175813,2015-09-18,1
30942,2015-09-18,2
52953,2015-09-17,2
30942,2015-09-17,2
150360,2015-09-17,1
44667,2015-09-17,1
11136,2015-09-17,1
144416,2015-09-17,6
28575,2015-09-17,2
128884,2015-09-17,1
171891,2015-09-17,1
202029,2015-09-17,2
160315,2015-09-17,2
140605,2015-09-17,2
43382,2015-09-17,1
35064,2015-09-17,2
138876,2015-09-17,1
190844,2015-09-17,1
151889,2015-09-17,3
44958,2015-09-17,1
174970,2015-09-17,4
178336,2015-09-17,2
200549,2015-09-17,2
3407,2015-09-17,1
152839,2015-09-17,1
17749,2015-09-17,2
189753,2015-09-17,2
37438,2015-09-17,2
221891,2015-09-17,2
170812,2015-09-17,1
87120,2015-09-17,1
189727,2015-09-17,1
171664,2015-09-17,3
172218,2015-09-17,4
3682,2015-09-17,1
66679,2015-09-17,1
55377,2015-09-17,1
94940,2015-09-17,1
94189,2015-09-17,1
9830,2015-09-16,2
55377,2015-09-16,6
172218,2015-09-16,2
771,2015-09-16,3
155422,2015-09-16,4
160315,2015-09-16,3
7707,2015-09-16,1
7571,2015-09-16,2
35064,2015-09-16,2
41158,2015-09-16,1
52953,2015-09-16,1
189753,2015-09-16,2
171664,2015-09-16,3
3682,2015-09-16,6
126553,2015-09-16,1
8999,2015-09-16,1
140576,2015-09-16,1
73086,2015-09-16,1
17749,2015-09-16,1
42888,2015-09-16,2
144416,2015-09-16,5
37067,2015-09-16,3
162475,2015-09-16,3
201333,2015-09-16,1
24140,2015-09-16,2
39429,2015-09-16,2
41737,2015-09-16,1
113638,2015-09-16,1
37438,2015-09-16,1
202029,2015-09-16,5
41586,2015-09-16,1
175423,2015-09-16,2
152839,2015-09-16,1
189727,2015-09-16,2
94940,2015-09-16,1
128884,2015-09-16,1
51806,2015-09-16,1
30942,2015-09-16,1
45250,2015-09-16,1
128884,2015-09-15,2
151889,2015-09-15,1
171664,2015-09-15,4
174970,2015-09-15,5
162475,2015-09-15,1
189727,2015-09-15,11
160315,2015-09-15,1
34032,2015-09-15,1
52953,2015-09-15,5
66679,2015-09-15,1
160730,2015-09-15,1
20712,2015-09-15,1
112889,2015-09-15,1
190844,2015-09-15,3
17749,2015-09-15,1
51806,2015-09-15,1
30942,2015-09-15,1
35064,2015-09-15,1
493,2015-09-15,1
19734,2015-09-15,1
28575,2015-09-15,2
28575,2015-09-14,2
160315,2015-09-14,1
190844,2015-09-14,1
190139,2015-09-14,3
17749,2015-09-14,1
35064,2015-09-14,2
160730,2015-09-14,2
162475,2015-09-14,5
191977,2015-09-14,3
100687,2015-09-14,1
144416,2015-09-14,1
140605,2015-09-14,1
87429,2015-09-14,1
128884,2015-09-14,1
19977,2015-09-14,1
147488,2015-09-14,1
211095,2015-09-14,1
66679,2015-09-14,1
55377,2015-09-14,3
52953,2015-09-14,3
118893,2015-09-14,1
172218,2015-09-14,2
44958,2015-09-14,1
171664,2015-09-14,3
174970,2015-09-14,3
24140,2015-09-14,1
14694,2015-09-14,1
155422,2015-09-14,2
95553,2015-09-14,1
3760,2015-09-14,1
151889,2015-09-14,1
164189,2015-09-14,1
172218,2015-09-13,10
24140,2015-09-13,3
162475,2015-09-13,4
114050,2015-09-13,1
35496,2015-09-13,1
174970,2015-09-13,3
7266,2015-09-13,1
128884,2015-09-13,2
23182,2015-09-13,3
205048,2015-09-13,1
41368,2015-09-13,1
66679,2015-09-13,2
